index,City,Latitude,Longitude,Humidity,Temperature_avg,Temperature_min,Temperature_max,Temperature_perceived,Wind_speed,Cloudiness,Precipitation_prob
0,Mont Saint Michel,48.6359541,-1.511459954959514,58,17.05,7.68,17.05,16.33,7.7,24,21
1,St Malo,48.649518,-2.0260409,73,15.96,10.25,16.49,15.52,8.54,1,1
2,Bayeux,49.2764624,-0.7024738,80,14.99,9.67,16.14,14.63,7.92,32,33
3,Le Havre,49.4938975,0.1079732,72,16.06,10.77,17.51,15.6,8.22,8,48
4,Rouen,49.4404591,1.0939658,64,18.13,6.89,19.4,17.67,6.7,32,33
5,Paris,48.8534951,2.3483915,49,20.08,9.93,20.69,19.42,5.73,30,37
6,Amiens,49.8941708,2.2956951,63,18.76,7.34,20.1,18.34,6.64,63,0
7,Lille,50.6365654,3.0635282,50,19.2,9.13,20.16,18.48,6.49,22,0
8,Strasbourg,48.584614,7.7507127,68,19.73,12.01,21.87,19.53,5.38,98,8
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,68,15.38,8.26,18.04,14.75,3.35,89,30
10,Colmar,48.0777517,7.3579641,70,18.25,10.59,21.1,17.96,4.3,90,20
11,Eguisheim,48.0447968,7.3079618,70,18.12,10.64,21.06,17.82,4.14,90,20
12,Besancon,47.2380222,6.0243622,59,19.3,7.03,19.75,18.83,5.55,76,15
13,Dijon,47.3215806,5.0414701,68,18.37,8.52,19.8,18.04,5.22,77,79
14,Annecy,45.8992348,6.1288847,55,19.04,8.81,19.27,18.44,2.19,58,55
15,Grenoble,45.1875602,5.7357819,75,18.88,11.3,18.88,18.78,2.42,100,50
16,Lyon,45.7578137,4.8320114,58,19.05,9.74,19.37,18.53,3.56,83,13
17,Gorges du Verdon,43.7496562,6.3285616,84,11.6,7.26,11.63,11.01,2.12,100,79
18,Bormes les Mimosas,43.1506968,6.3419285,86,15.02,13.69,15.97,14.82,4.62,100,100
19,Cassis,43.2140359,5.5396318,79,16.26,15.11,17.3,16.0,3.38,99,87
20,Marseille,43.2961743,5.3699525,76,16.9,15.11,17.91,16.63,3.49,60,90
21,Aix en Provence,43.5298424,5.4474738,80,15.75,12.7,16.86,15.47,2.41,100,88
22,Avignon,43.9492493,4.8059012,55,20.48,12.32,20.48,20.02,6.65,90,89
23,Uzes,44.0121279,4.4196718,50,20.17,11.09,20.17,19.55,6.57,100,89
24,Nimes,43.8374249,4.3600687,47,20.89,12.32,20.89,20.26,5.87,90,94
25,Aigues Mortes,43.5658225,4.1912837,60,19.12,13.79,19.12,18.65,4.4,90,99
26,Saintes Maries de la mer,43.4522771,4.4287172,67,19.04,14.03,19.39,18.75,6.46,100,100
27,Collioure,42.52505,3.0831554,43,21.22,14.86,23.12,20.52,9.87,100,64
28,Carcassonne,43.2130358,2.3491069,64,17.28,9.7,21.0,16.73,5.96,76,64
29,Ariege,42.9455368,1.4065544156065486,63,10.78,4.09,11.46,9.56,3.04,100,85
30,Toulouse,43.6044622,1.4442469,53,18.77,9.22,19.97,18.09,5.59,59,78
31,Montauban,44.0175835,1.3549991,58,18.89,9.51,19.05,18.35,4.51,96,66
32,Biarritz,43.471143749999996,-1.552726590666314,65,17.23,12.18,17.67,16.71,3.78,96,95
33,Bayonne,43.4945144,-1.4736657,66,17.95,12.05,18.38,17.52,3.79,97,94
34,La Rochelle,46.1591126,-1.1520434,57,18.69,9.96,20.07,18.1,6.47,14,24
